Time,Value
2019-07-25,100
2019-07-26,200
2019-07-27,800
2019-07-28,900
2019-07-29,200
2019-07-30,500
2019-07-31,150
2019-08-01,250
2019-08-02,30
2019-08-03,190
2019-08-04,200
2019-08-05,600
2019-08-06,60
2019-08-07,100
2019-08-08,30
2019-08-09,170
2019-08-10,45
2019-08-11,88
2019-08-12,700
2019-08-13,56
2019-08-14,90
2019-08-15,60
2019-08-16,20
2019-08-17,190
2019-08-18,55
2019-08-19,20
2019-08-20,30
2019-08-21,100
2019-08-22,80
2019-08-23,500
2019-08-24,50
2019-08-25,120
2019-08-26,140
2019-08-27,66
2019-08-28,25
2019-08-29,40
2019-08-30,130
2019-09-01,200
