Time,Value
2019-07-25,20
2019-07-26,10
2019-07-27,3
2019-07-28,10
2019-07-29,14
2019-07-30,13
2019-07-31,7
2019-08-01,30
2019-08-02,30
2019-08-03,2
2019-08-04,5
2019-08-05,10
2019-08-06,3
2019-08-07,15
2019-08-08,20
2019-08-09,23
2019-08-10,18
2019-08-11,16
2019-08-12,15
2019-08-13,3
2019-08-14,5
2019-08-15,6
2019-08-16,10
2019-08-17,30
2019-08-18,25
2019-08-19,10
2019-08-20,3
2019-08-21,13
2019-08-22,6
2019-08-23,8
2019-08-24,4
2019-08-25,10
2019-08-26,15
2019-08-27,14
2019-08-28,12
2019-08-29,18
2019-08-30,2
2019-09-01,1
